GCF_003260185.2_ASM326018v2_genomic	GCF_018672515.1_ASM1867251v1_genomic	GCF_002944765.1_ASM294476v1_genomic	GCF_020149505.1_ASM2014950v1_genomic	GCF_021474185.1_ASM2147418v1_genomic	GCF_009730455.1_ASM973045v1_genomic	GCF_000196015.1_ASM19601v1_genomic	GCF_004768545.1_ASM476854v1_genomic	GCF_008807855.1_ASM880785v1_genomic	GCF_016894385.1_ASM1689438v1_genomic	GCF_016894365.1_ASM1689436v1_genomic	GCF_016127575.1_ASM1612757v1_genomic	GCF_004798725.1_ASM479872v1_genomic	GCF_000009285.1_ASM928v2_genomic	GCF_016757775.1_ASM1675777v1_genomic	GCF_018223725.1_ASM1822372v1_genomic	GCF_000219215.1_ASM21921v1_genomic	GCF_002011925.2_ASM201192v2_genomic	GCF_020618415.1_ASM2061841v1_genomic	GCF_022406855.1_ASM2240685v1_genomic	GCF_001854305.1_ASM185430v1_genomic	GCF_001854325.1_ASM185432v1_genomic	GCF_001854285.1_ASM185428v1_genomic	GCF_013347325.1_ASM1334732v1_genomic	GCF_001281465.1_ASM128146v1_genomic	GCF_008801925.2_ASM880192v2_genomic	GCF_000832305.1_ASM83230v1_genomic	GCF_019602855.1_ASM1960285v1_genomic	GCF_008693385.1_ASM869338v1_genomic	GCF_019931045.1_ASM1993104v1_genomic	GCF_008271425.1_ASM827142v1_genomic	GCF_003854935.1_ASM385493v1_genomic	GCF_018729255.1_ASM1872925v1_genomic
100.0	99.734749	97.949524	97.453094	97.456139	97.442917	97.443306	82.633453	82.660126	82.465042	82.506165	82.617256	82.628609	82.61615	82.502197	82.497849	82.464264	82.506653	82.718658	82.508148	82.235062	81.632004	81.60466	82.017868	81.965591	81.655151	81.215088	82.268463	82.495857	84.196716	84.58905	85.527451	85.330017
99.734749	100.0	98.094742	97.548904	97.543777	97.54631	97.542877	82.478668	82.407364	82.345421	82.380951	82.58493	82.565262	82.571747	82.526482	82.442589	82.543999	82.57962	82.657791	82.522629	81.637054	81.598755	81.553871	81.822449	81.74823	81.256134	81.229172	82.275101	82.515656	83.603943	83.852936	84.625793	84.693359
97.949524	98.094742	100.0	98.7882	98.785934	98.723412	98.725311	82.569939	82.680771	82.485931	82.455841	82.6511	82.564919	82.563629	82.486267	82.452728	82.42189	82.613174	82.738419	82.450851	82.410385	81.619446	81.628052	82.092331	81.932083	81.943939	81.252563	82.173737	82.45031	84.332321	84.458466	85.047401	85.587906
97.453094	97.548904	98.7882	100.0	99.99736	99.075287	99.078262	82.390114	82.449341	82.472855	82.441635	82.528488	82.539597	82.548447	82.493126	82.522812	82.507095	82.486763	82.576042	82.403687	81.566528	81.579361	81.614388	81.781929	81.774567	81.241257	81.264786	82.15477	82.476257	83.557426	83.881454	84.62738	84.74469
97.456139	97.543777	98.785934	99.99736	100.0	99.082565	99.080795	82.418007	82.429947	82.467239	82.475586	82.544777	82.509491	82.56192	82.502655	82.45282	82.532059	82.512703	82.557449	82.398445	81.585724	81.553802	81.585197	81.805054	81.774826	81.225456	81.297455	82.188675	82.488831	83.544205	83.860329	84.59346	84.710785
97.442917	97.54631	98.723412	99.075287	99.082565	100.0	99.998703	82.347664	82.597885	82.491287	82.404327	82.437943	82.414261	82.442162	82.444427	82.411621	82.527435	82.479309	82.67614	82.41655	82.105026	81.553665	81.501068	82.044502	81.873924	81.867432	81.261002	82.179085	82.375336	84.337448	84.338211	85.037682	85.329453
97.443306	97.542877	98.725311	99.078262	99.080795	99.998703	100.0	82.410477	82.587662	82.524307	82.456985	82.41581	82.429871	82.442581	82.452911	82.381973	82.475281	82.380859	82.603592	82.406517	82.136444	81.513657	81.557259	82.060669	81.86084	81.858627	81.337212	82.116531	82.407776	84.302933	84.370834	85.075745	85.390076
82.633453	82.478668	82.569939	82.390114	82.418007	82.347664	82.410477	100.0	93.969177	93.999313	94.010849	88.611198	88.58252	88.600067	88.341705	88.32412	88.282928	88.077339	88.790215	88.735085	83.694038	83.711624	83.680481	83.695572	83.728882	83.327003	83.21727	84.409706	82.516998	82.540329	83.635208	84.042999	83.703438
82.660126	82.407364	82.680771	82.449341	82.429947	82.597885	82.587662	93.969177	100.0	98.911057	98.903824	88.76059	88.709236	88.703918	88.489227	88.427422	88.500534	88.32753	89.162109	88.744797	84.01931	83.877548	83.889923	84.168472	84.146561	83.383301	83.319305	84.699699	82.632996	82.760353	84.207932	84.160835	83.710442
82.465042	82.345421	82.485931	82.472855	82.467239	82.491287	82.524307	93.999313	98.911057	100.0	99.998596	88.848351	88.76535	88.773193	88.566505	88.540718	88.615089	88.343307	88.949707	88.90963	83.802094	83.8022	83.813889	83.74855	83.797363	83.273407	83.331177	84.672302	82.713745	82.65406	83.864418	84.290115	83.996994
82.506165	82.380951	82.455841	82.441635	82.475586	82.404327	82.456985	94.010849	98.903824	99.998596	100.0	88.845093	88.777306	88.787613	88.580948	88.531677	88.572571	88.357193	88.923843	88.919548	83.906944	83.876678	83.893852	83.818878	83.902298	83.288559	83.381226	84.608826	82.763573	82.64698	83.856812	84.333611	83.929398
82.617256	82.58493	82.6511	82.528488	82.544777	82.437943	82.41581	88.611198	88.76059	88.848351	88.845093	100.0	99.998077	99.995369	95.100525	94.961884	95.234116	91.6642	90.207771	89.813675	83.797409	83.8741	83.813431	83.668167	83.668785	83.419006	83.53244	84.424728	82.542145	82.521187	83.885139	84.240402	83.767548
82.628609	82.565262	82.564919	82.539597	82.509491	82.414261	82.429871	88.58252	88.709236	88.76535	88.777306	99.998077	100.0	99.996658	95.096344	94.990082	95.220154	91.708084	90.165962	89.784691	83.830673	83.892578	83.807549	83.692787	83.670715	83.483757	83.55423	84.443451	82.53949	82.494217	83.884811	84.259888	83.728584
82.61615	82.571747	82.563629	82.548447	82.56192	82.442162	82.442581	88.600067	88.703918	88.773193	88.787613	99.995369	99.996658	100.0	95.098785	94.997169	95.182854	91.715088	90.196533	89.759552	83.805511	83.907578	83.827774	83.72908	83.705551	83.488556	83.583618	84.460442	82.539635	82.488312	83.885529	84.267807	83.758324
82.502197	82.526482	82.486267	82.493126	82.502655	82.444427	82.452911	88.341705	88.489227	88.566505	88.580948	95.100525	95.096344	95.098785	100.0	96.087036	96.069771	91.748894	89.969582	89.581757	83.540665	83.612625	83.570679	83.499588	83.592621	83.410156	83.323395	84.353882	82.377502	82.472778	83.792961	84.175026	83.737129
82.497849	82.442589	82.452728	82.522812	82.45282	82.411621	82.381973	88.32412	88.427422	88.540718	88.531677	94.961884	94.990082	94.997169	96.087036	100.0	98.840805	91.709122	89.954346	89.624268	83.552673	83.770775	83.61232	83.594437	83.637451	83.461899	83.357712	84.393921	82.272499	82.32399	83.718994	84.061501	83.687019
