GCA_001771535.1_ASM177153v1_genomic	GCA_001771505.1_ASM177150v1_genomic	GCA_001771395.1_ASM177139v1_genomic	GCA_001771705.1_ASM177170v1_genomic	GCA_001771455.1_ASM177145v1_genomic	GCA_001772385.1_ASM177238v1_genomic	GCA_001771655.1_ASM177165v1_genomic
100.0	80.793716	80.753059	81.458725	99.684875	80.884293	99.823105
80.793716	100.0	99.901184	99.308441	79.955521	99.991837	80.891441
80.753059	99.901184	100.0	99.358475	79.616364	99.921089	80.787682
81.458725	99.308441	99.358475	100.0	80.323517	99.352036	81.110901
99.684875	79.955521	79.616364	80.323517	100.0	79.971725	99.631607
80.884293	99.991837	99.921089	99.352036	79.971725	100.0	80.970734
99.823105	80.891441	80.787682	81.110901	99.631607	80.970734	100.0
