GCF_016894385.1_ASM1689438v1_genomic	GCF_003260185.2_ASM326018v2_genomic	GCF_019931045.1_ASM1993104v1_genomic	GCF_016127575.1_ASM1612757v1_genomic	GCF_002944765.1_ASM294476v1_genomic	GCF_009730455.1_ASM973045v1_genomic	GCF_000196015.1_ASM19601v1_genomic	GCF_008801925.2_ASM880192v2_genomic	GCF_008693385.1_ASM869338v1_genomic	GCF_001854325.1_ASM185432v1_genomic	GCF_004768545.1_ASM476854v1_genomic	GCF_001854285.1_ASM185428v1_genomic	GCF_013347325.1_ASM1334732v1_genomic	GCF_020149505.1_ASM2014950v1_genomic	GCF_018223725.1_ASM1822372v1_genomic	GCF_021474185.1_ASM2147418v1_genomic	GCF_008807855.1_ASM880785v1_genomic	GCF_003854935.1_ASM385493v1_genomic	GCF_019602855.1_ASM1960285v1_genomic	GCF_016894365.1_ASM1689436v1_genomic	GCF_002011925.2_ASM201192v2_genomic	GCF_008271425.1_ASM827142v1_genomic	GCF_000219215.1_ASM21921v1_genomic	GCF_018672515.1_ASM1867251v1_genomic	GCF_016757775.1_ASM1675777v1_genomic	GCF_001281465.1_ASM128146v1_genomic	GCF_018729255.1_ASM1872925v1_genomic	GCF_020618415.1_ASM2061841v1_genomic	GCF_004798725.1_ASM479872v1_genomic	GCF_000832305.1_ASM83230v1_genomic	GCF_000009285.1_ASM928v2_genomic	GCF_001854305.1_ASM185430v1_genomic	GCF_022406855.1_ASM2240685v1_genomic
100.0	82.465042	82.65406	88.848351	82.485931	82.491287	82.524307	83.273407	82.713745	83.8022	93.999313	83.813889	83.74855	82.472855	88.540718	82.467239	98.911057	84.290115	84.672302	99.998596	88.343307	83.864418	88.615089	82.345421	88.566505	83.797363	83.996994	88.949707	88.76535	83.331177	88.773193	83.802094	88.90963
82.465042	100.0	84.196716	82.617256	97.949524	97.442917	97.443306	81.655151	82.495857	81.632004	82.633453	81.60466	82.017868	97.453094	82.497849	97.456139	82.660126	85.527451	82.268463	82.506165	82.506653	84.58905	82.464264	99.734749	82.502197	81.965591	85.330017	82.718658	82.628609	81.215088	82.61615	82.235062	82.508148
82.65406	84.196716	100.0	82.521187	84.332321	84.337448	84.302933	81.47406	82.228821	81.490028	82.540329	81.48481	82.27784	83.557426	82.32399	83.544205	82.760353	85.54361	82.084946	82.64698	82.482536	83.942223	82.371078	83.603943	82.472778	82.015465	85.578766	82.906265	82.494217	81.220001	82.488312	81.836258	82.482971
88.848351	82.617256	82.521187	100.0	82.6511	82.437943	82.41581	83.419006	82.542145	83.8741	88.611198	83.813431	83.668167	82.528488	94.961884	82.544777	88.76059	84.240402	84.424728	88.845093	91.6642	83.885139	95.234116	82.58493	95.100525	83.668785	83.767548	90.207771	99.998077	83.53244	99.995369	83.797409	89.813675
82.485931	97.949524	84.332321	82.6511	100.0	98.723412	98.725311	81.943939	82.45031	81.619446	82.569939	81.628052	82.092331	98.7882	82.452728	98.785934	82.680771	85.047401	82.173737	82.455841	82.613174	84.458466	82.42189	98.094742	82.486267	81.932083	85.587906	82.738419	82.564919	81.252563	82.563629	82.410385	82.450851
82.491287	97.442917	84.337448	82.437943	98.723412	100.0	99.998703	81.867432	82.375336	81.553665	82.347664	81.501068	82.044502	99.075287	82.411621	99.082565	82.597885	85.037682	82.179085	82.404327	82.479309	84.338211	82.527435	97.54631	82.444427	81.873924	85.329453	82.67614	82.414261	81.261002	82.442162	82.105026	82.41655
82.524307	97.443306	84.302933	82.41581	98.725311	99.998703	100.0	81.858627	82.407776	81.513657	82.410477	81.557259	82.060669	99.078262	82.381973	99.080795	82.587662	85.075745	82.116531	82.456985	82.380859	84.370834	82.475281	97.542877	82.452911	81.86084	85.390076	82.603592	82.429871	81.337212	82.442581	82.136444	82.406517
83.273407	81.655151	81.47406	83.419006	81.943939	81.867432	81.858627	100.0	81.072205	82.801956	83.327003	82.791153	82.431992	81.241257	83.461899	81.225456	83.383301	82.685165	82.098816	83.288559	83.837212	82.759018	83.427734	81.256134	83.410156	82.367409	82.494827	83.661522	83.483757	95.194496	83.488556	83.056854	83.223267
82.713745	82.495857	82.228821	82.542145	82.45031	82.375336	82.407776	81.072205	100.0	81.352036	82.516998	81.384506	81.997009	82.476257	82.272499	82.488831	82.632996	83.496155	82.257637	82.763573	82.477119	83.221329	82.33609	82.515656	82.377502	82.179741	83.161469	82.840347	82.53949	81.148933	82.539635	81.355682	82.452049
83.8022	81.632004	81.490028	83.8741	81.619446	81.553665	81.513657	82.801956	81.352036	100.0	83.711624	99.374657	82.959824	81.579361	83.770775	81.553802	83.877548	82.778198	82.308006	83.876678	83.754288	82.567818	83.719551	81.598755	83.612625	82.883453	82.354027	84.064316	83.892578	82.750641	83.907578	99.292542	83.869568
